Date,Total BTC Balance,Total USD Balance,Balance % Change,Trade Server 1 BTC,Trade Server 1 USD,Trade Server 2 BTC,Trade Server 2 USD,Trade Server 3 BTC,Trade Server 3 USD,,
01-July-2022,0,$0.00,0.00%,0,$0.00,0,$0.00,0,$0.00,,
01-July-2022,0.7517153962,"$15,607.49",0.0000%,0.7517153962,"$15,607.49",0,$0.00,0,$0.00,,
02-July-2022,0.7538698742,"$15,652.22",0.2866%,0.7538698742,"$15,652.22",0,$0.00,0,$0.00,,
03-July-2022,0.748540708,"$15,541.58",-0.7069%,0.748540708,"$15,541.58",0,$0.00,0,$0.00,,
04-July-2022,0.7565854994,"$15,708.61",1.0747%,0.7565854994,"$15,708.61",0,$0.00,0,$0.00,,
05-July-2022,0.7582334781,"$15,742.82",0.2178%,0.7582334781,"$15,742.82",0,$0.00,0,$0.00,,
06-July-2022,0.7634731484,"$15,851.61",0.6910%,0.7634731484,"$15,851.61",0,$0.00,0,$0.00,,
07-July-2022,0.7567234466,"$15,711.47",-0.8841%,0.7567234466,"$15,711.47",0,$0.00,0,$0.00,,
08-July-2022,0.7469995225,"$15,509.58",-1.2850%,0.7469995225,"$15,509.58",0,$0.00,0,$0.00,,
09-July-2022,0.7680115834,"$15,945.84",2.8129%,0.7680115834,"$15,945.84",0,$0.00,0,$0.00,,
10-July-2022,0.9982267715,"$20,725.68",29.9755%,0.9982267715,"$20,725.68",0,$0.00,0,$0.00,,
11-July-2022,1.198529613,"$24,884.47",20.0659%,1.198529613,"$24,884.47",0,$0.00,0,$0.00,,
12-July-2022,1.193028324,"$24,770.25",-0.4590%,1.193028324,"$24,770.25",0,$0.00,0,$0.00,,
13-July-2022,1.183981714,"$24,582.42",-0.7583%,1.183981714,"$24,582.42",0,$0.00,0,$0.00,,
14-July-2022,1.18449782,"$24,593.14",0.0436%,1.18449782,"$24,593.14",0,$0.00,0,$0.00,,
15-July-2022,1.208124782,"$25,083.69",1.9947%,1.208124782,"$25,083.69",0,$0.00,0,$0.00,,
16-July-2022,1.220745128,"$25,345.72",1.0446%,1.220745128,"$25,345.72",0,$0.00,0,$0.00,,
17-July-2022,1.210729021,"$25,137.76",-0.8205%,1.210729021,"$25,137.76",0,$0.00,0,$0.00,,
18-July-2022,1.211332992,"$25,150.30",0.0499%,1.211332992,"$25,150.30",0,$0.00,0,$0.00,,
19-July-2022,1.209022122,"$25,102.32",-0.1908%,1.209022122,"$25,102.32",0,$0.00,0,$0.00,,
20-July-2022,1.227391124,"$25,483.71",1.5193%,1.227391124,"$25,483.71",0,$0.00,0,$0.00,,
21-July-2022,1.249498524,"$25,942.71",1.8012%,1.249498524,"$25,942.71",0,$0.00,0,$0.00,,
22-July-2022,1.245594031,"$25,861.65",-0.3125%,1.245594031,"$25,861.65",0,$0.00,0,$0.00,,
23-July-2022,1.207456335,"$25,069.81",-3.0618%,1.207456335,"$25,069.81",0,$0.00,0,$0.00,,
24-July-2022,1.276361525,"$26,500.46",5.7066%,1.276361525,"$26,500.46",0,$0.00,0,$0.00,,
25-July-2022,1.279891055,"$26,573.74",0.2765%,1.279891055,"$26,573.74",0,$0.00,0,$0.00,,
26-July-2022,1.283030697,"$26,638.92",0.2453%,1.283030697,"$26,638.92",0,$0.00,0,$0.00,,
27-July-2022,1.492504155,"$30,988.12",16.3265%,1.492504155,"$30,988.12",0,$0.00,0,$0.00,,
28-July-2022,1.492068666,"$30,979.08",-0.0292%,1.492068666,"$30,979.08",0,$0.00,0,$0.00,,
29-July-2022,1.735881835,"$36,041.25",16.3406%,1.735881835,"$36,041.25",0,$0.00,0,$0.00,,
30-July-2022,1.728781729,"$35,893.83",-0.4090%,1.728781729,"$35,893.83",0,$0.00,0,$0.00,,
31-July-2022,1.740275451,"$36,132.47",0.6648%,1.740275451,"$36,132.47",0,$0.00,0,$0.00,,
01-August-2022,1.739045664,"$36,106.94",-0.0707%,1.739045664,"$36,106.94",0,$0.00,0,$0.00,,
02-August-2022,1.746499627,"$36,261.70",0.4286%,1.746499627,"$36,261.70",0,$0.00,0,$0.00,,
03-August-2022,1.822690765,"$37,843.62",4.3625%,1.822690765,"$37,843.62",0,$0.00,0,$0.00,,
04-August-2022,1.825295714,"$37,897.70",0.1429%,1.825295714,"$37,897.70",0,$0.00,0,$0.00,,
05-August-2022,1.81509702,"$37,685.95",-0.5587%,1.81509702,"$37,685.95",0,$0.00,0,$0.00,,
06-August-2022,1.819036884,"$37,767.75",0.2171%,1.819036884,"$37,767.75",0,$0.00,0,$0.00,,
07-August-2022,1.901979913,"$39,489.86",4.5597%,1.901979913,"$39,489.86",0,$0.00,0,$0.00,,
08-August-2022,1.922843833,"$39,923.05",1.0970%,1.922843833,"$39,923.05",0,$0.00,0,$0.00,,
09-August-2022,1.953243025,"$40,554.21",1.5809%,1.953243025,"$40,554.21",0,$0.00,0,$0.00,,
10-August-2022,1.947162089,"$40,427.95",-0.3113%,1.947162089,"$40,427.95",0,$0.00,0,$0.00,,
11-August-2022,1.94956841,"$40,477.91",0.1236%,1.94956841,"$40,477.91",0,$0.00,0,$0.00,,
12-August-2022,1.993511701,"$41,390.29",2.2540%,1.993511701,"$41,390.29",0,$0.00,0,$0.00,,
13-August-2022,1.999490873,"$41,514.43",0.2999%,1.999490873,"$41,514.43",0,$0.00,0,$0.00,,
14-August-2022,1.988360394,"$41,283.33",-0.5567%,1.988360394,"$41,283.33",0,$0.00,0,$0.00,,
15-August-2022,1.985440031,"$41,222.70",-0.1469%,1.985440031,"$41,222.70",0,$0.00,0,$0.00,,
16-August-2022,1.97803227,"$41,068.89",-0.3731%,1.97803227,"$41,068.89",0,$0.00,0,$0.00,,
17-August-2022,2.245049223,"$46,612.83",13.4991%,2.221063696,"$46,114.83",0.0239855266,$498.00,0,$0.00,,
18-August-2022,2.555946768,"$53,067.84",13.8481%,2.295779306,"$47,666.12",0.2601674623,"$5,401.73",0,$0.00,,
19-August-2022,2.638650416,"$54,784.98",3.2357%,2.381431365,"$49,444.47",0.2572190512,"$5,340.51",0,$0.00,,
20-August-2022,2.606623373,"$54,120.02",-1.2138%,2.348489687,"$48,760.52",0.2581336863,"$5,359.50",0,$0.00,,
21-August-2022,2.565652158,"$53,269.35",-1.5718%,2.306957224,"$47,898.20",0.2586949343,"$5,371.15",0,$0.00,,
22-August-2022,2.750015821,"$57,097.20",7.1858%,2.326358316,"$48,301.01",0.4236575052,"$8,796.19",0,$0.00,,
23-August-2022,2.748028687,"$57,055.95",-0.0723%,2.322951115,"$48,230.27",0.4250775717,"$8,825.67",0,$0.00,,
24-August-2022,2.788489111,"$57,896.01",1.4723%,2.31933145,"$48,155.12",0.4691576604,"$9,740.89",0,$0.00,,
25-August-2022,2.791783383,"$57,964.40",0.1181%,2.32420309,"$48,256.27",0.4675802932,"$9,708.14",0,$0.00,,
26-August-2022,2.862994633,"$59,442.93",2.5507%,2.349409875,"$48,779.62",0.5135847588,"$10,663.30",0,$0.00,,
27-August-2022,2.857599829,"$59,330.92",-0.1884%,2.347918942,"$48,748.67",0.5096808869,"$10,582.25",0,$0.00,,
28-August-2022,3.040101573,"$63,120.11",6.3865%,2.37862605,"$49,386.22",0.6614755226,"$13,733.89",0,$0.00,,
29-August-2022,3.087740761,"$64,109.22",1.5670%,2.341749625,"$48,620.58",0.7459911366,"$15,488.64",0,$0.00,,
30-August-2022,3.097610212,"$64,314.13",0.3196%,2.346030492,"$48,709.46",0.7515797196,"$15,604.67",0,$0.00,,
31-August-2022,3.145971102,"$65,318.23",1.5612%,2.323786194,"$48,247.61",0.822184908,"$17,070.61",0,$0.00,,
01-September-2022,3.17260795,"$65,871.27",0.8467%,2.346177902,"$48,712.52",0.8264300481,"$17,158.75",0,$0.00,,
02-September-2022,3.246501825,"$67,405.49",2.3291%,2.350546463,"$48,803.22",0.8959553617,"$18,602.27",0,$0.00,,
03-September-2022,3.256208078,"$67,607.02",0.2990%,2.359153423,"$48,981.92",0.8970546542,"$18,625.10",0,$0.00,,
04-September-2022,3.398167268,"$70,554.45",4.3596%,2.367822426,"$49,161.91",1.030344842,"$21,392.53",0,$0.00,,
05-September-2022,3.407782339,"$70,754.08",0.2829%,2.368399557,"$49,173.90",1.039382783,"$21,580.19",0,$0.00,,
06-September-2022,3.42651508,"$71,143.02",0.5497%,2.38836841,"$49,588.50",1.03814667,"$21,554.52",0,$0.00,,
07-September-2022,3.446050279,"$71,548.62",0.5701%,2.408280536,"$50,001.92",1.037769743,"$21,546.69",0,$0.00,,
08-September-2022,3.519651947,"$73,076.77",2.1358%,2.423368003,"$50,315.18",1.096283944,"$22,761.60",0,$0.00,,
09-September-2022,3.494373066,"$72,551.92",-0.7182%,2.413164521,"$50,103.33",1.081208545,"$22,448.59",0,$0.00,,
10-September-2022,4.300560728,"$89,290.39",23.0710%,2.434315333,"$50,542.47",1.866245395,"$38,747.92",0,$0.00,,
11-September-2022,4.28280362,"$88,921.71",-0.4129%,2.431203026,"$50,477.85",1.851600594,"$38,443.86",0,$0.00,,
12-September-2022,4.227862847,"$87,781.00",-1.2828%,2.377643741,"$49,365.83",1.850219106,"$38,415.17",0,$0.00,,
13-September-2022,4.207734603,"$87,363.09",-0.4761%,2.376260425,"$49,337.11",1.831474178,"$38,025.98",0,$0.00,,
14-September-2022,4.203551677,"$87,276.24",-0.0994%,2.363328377,"$49,068.61",1.840223301,"$38,207.64",0,$0.00,,
15-September-2022,4.340300508,"$90,115.49",3.2532%,2.352581827,"$48,845.48",1.987718681,"$41,270.01",0,$0.00,,
16-September-2022,4.375412065,"$90,844.49",0.8090%,2.365304977,"$49,109.64",2.010107088,"$41,734.85",0,$0.00,,
17-September-2022,4.397507947,"$91,303.26",0.5050%,2.37929997,"$49,400.22",2.018207977,"$41,903.04",0,$0.00,,
18-September-2022,4.364103592,"$90,609.70",-0.7596%,2.354806775,"$48,891.68",2.009296817,"$41,718.03",0,$0.00,,
19-September-2022,4.329444682,"$89,890.10",-0.7942%,2.364537647,"$49,093.71",1.964907035,"$40,796.38",0,$0.00,,
20-September-2022,4.345025625,"$90,213.59",0.3599%,2.371765769,"$49,243.79",1.973259856,"$40,969.81",0,$0.00,,
21-September-2022,4.281539256,"$88,895.46",-1.4611%,2.30242675,"$47,804.14",1.979112506,"$41,091.32",0,$0.00,,
22-September-2022,4.300184588,"$89,282.58",0.4355%,2.318343065,"$48,134.60",1.981841523,"$41,147.98",0,$0.00,,
23-September-2022,4.323901697,"$89,775.01",0.5515%,2.328028881,"$48,335.70",1.995872816,"$41,439.31",0,$0.00,,
24-September-2022,4.324713334,"$89,791.86",0.0188%,2.327420871,"$48,323.08",1.997292463,"$41,468.78",0,$0.00,,
25-September-2022,4.332951475,"$89,962.91",0.1905%,2.33750775,"$48,532.50",1.995443726,"$41,430.40",0,$0.00,,
26-September-2022,4.328258633,"$89,865.47",-0.1083%,2.349914816,"$48,790.11",1.978343816,"$41,075.36",0,$0.00,,
27-September-2022,4.302158423,"$89,323.56",-0.6030%,2.347088408,"$48,731.42",1.955070015,"$40,592.14",0,$0.00,,
28-September-2022,4.283369942,"$88,933.47",-0.4367%,2.326141934,"$48,296.52",1.957228007,"$40,636.95",0,$0.00,,
29-September-2022,4.248972902,"$88,219.30",-0.8030%,2.30750966,"$47,909.67",1.941463242,"$40,309.63",0,$0.00,,
30-September-2022,4.247310933,"$88,184.79",-0.0391%,2.3035749,"$47,827.97",1.943736033,"$40,356.82",0,$0.00,,
01-October-2022,4.25305063,"$88,303.96",0.1351%,2.280016326,"$47,338.84",1.973034304,"$40,965.12",0,$0.00,,
02-October-2022,4.261499734,"$88,479.39",0.1987%,2.287209655,"$47,488.19",1.974290079,"$40,991.20",0,$0.00,,
03-October-2022,4.261092612,"$88,470.94",-0.0096%,2.293468981,"$47,618.15",1.967623631,"$40,852.79",0,$0.00,,
04-October-2022,4.259677474,"$88,441.55",-0.0332%,2.293469012,"$47,618.15",1.966208462,"$40,823.40",0,$0.00,,
05-October-2022,4.232647687,"$87,880.35",-0.6346%,2.286568703,"$47,474.88",1.946078984,"$40,405.46",0,$0.00,,
06-October-2022,4.23500538,"$87,929.30",0.0557%,2.285202725,"$47,446.52",1.949802655,"$40,482.78",0,$0.00,,
07-October-2022,4.212656519,"$87,465.28",-0.5277%,2.261581666,"$46,956.09",1.951074853,"$40,509.19",0,$0.00,,
08-October-2022,4.24215749,"$88,077.79",0.7003%,2.264071268,"$47,007.78",1.978086222,"$41,070.02",0,$0.00,,
09-October-2022,4.243212698,"$88,099.70",0.0249%,2.262890338,"$46,983.26",1.98032236,"$41,116.44",0,$0.00,,
10-October-2022,4.279098269,"$88,844.78",0.8457%,2.298594689,"$47,724.57",1.98050358,"$41,120.21",0,$0.00,,
11-October-2022,4.304716218,"$89,376.67",0.5987%,2.300251471,"$47,758.97",2.004464747,"$41,617.70",0,$0.00,,
12-October-2022,4.276637262,"$88,793.68",-0.6523%,2.302869718,"$47,813.33",1.973767544,"$40,980.35",0,$0.00,,
13-October-2022,4.225065087,"$87,722.91",-1.2059%,2.270237375,"$47,135.80",1.954827711,"$40,587.11",0,$0.00,,
14-October-2022,4.153840949,"$86,244.12",-1.6858%,2.235484328,"$46,414.24",1.918356622,"$39,829.88",0,$0.00,,
15-October-2022,4.155939439,"$86,287.69",0.0505%,2.216664206,"$46,023.49",1.939275233,"$40,264.20",0,$0.00,,
16-October-2022,4.200600435,"$87,214.97",1.0746%,2.172612654,"$45,108.87",2.027987781,"$42,106.10",0,$0.00,,
17-October-2022,4.212899917,"$87,470.33",0.2928%,2.191959634,"$45,510.56",2.020940282,"$41,959.77",0,$0.00,,
18-October-2022,4.299535575,"$89,269.11",2.0564%,2.285889686,"$47,460.78",2.013645889,"$41,808.32",0,$0.00,,
19-October-2022,4.274812339,"$88,755.79",-0.5750%,2.273738897,"$47,208.50",2.001073442,"$41,547.29",0,$0.00,,
20-October-2022,4.238513798,"$88,002.14",-0.8491%,2.266088294,"$47,049.66",1.972425504,"$40,952.48",0,$0.00,,
21-October-2022,4.23714961,"$87,973.82",-0.0322%,2.256928025,"$46,859.47",1.980221585,"$41,114.35",0,$0.00,,
22-October-2022,4.211260641,"$87,436.30",-0.6110%,2.218492985,"$46,061.46",1.992767657,"$41,374.84",0,$0.00,,
23-October-2022,4.200332589,"$87,209.41",-0.2595%,2.20623266,"$45,806.91",1.99409993,"$41,402.50",0,$0.00,,
24-October-2022,4.2253724,"$87,729.29",0.5961%,2.21788584,"$46,048.85",2.00748656,"$41,680.44",0,$0.00,,
25-October-2022,4.219669145,"$87,610.88",-0.1350%,2.218726438,"$46,066.31",2.000942706,"$41,544.57",0,$0.00,,
26-October-2022,4.20633479,"$87,334.03",-0.3160%,2.217811477,"$46,047.31",1.988523313,"$41,286.72",0,$0.00,,
27-October-2022,4.183486338,"$86,859.64",-0.5432%,2.205549056,"$45,792.71",1.977937283,"$41,066.92",0,$0.00,,
28-October-2022,4.195161298,"$87,102.04",0.2791%,2.19035953,"$45,477.34",2.004801768,"$41,624.70",0,$0.00,,
29-October-2022,4.187922797,"$86,951.75",-0.1725%,2.176193564,"$45,183.22",2.011729232,"$41,768.53",0,$0.00,,
30-October-2022,4.205068973,"$87,307.74",0.4094%,2.18999911,"$45,469.86",2.015069863,"$41,837.89",0,$0.00,,
31-October-2022,4.231437676,"$87,855.22",0.6271%,2.197776522,"$45,631.34",2.033661155,"$42,223.89",0,$0.00,,F U MATHS
01-November-2022,4.226036443,"$87,743.08",-0.1276%,2.197292123,"$45,621.28",2.02874432,"$42,121.80",0,$0.00,,
02-November-2022,4.2316814,"$87,860.29",0.1336%,2.223608016,"$46,167.66",2.008073384,"$41,692.62",0,$0.00,,
03-November-2022,4.288854438,"$89,047.34",1.3511%,2.220090676,"$46,094.63",2.068763762,"$42,952.71",0,$0.00,,
04-November-2022,4.329056034,"$89,882.03",0.9374%,2.200674968,"$45,691.51",2.128381066,"$44,190.51",0,$0.00,,
05-November-2022,4.436361592,"$92,109.96",2.4787%,2.261711606,"$46,958.79",2.138842256,"$44,407.71",0.03580773014,$743.46,,
06-November-2022,4.503657196,"$93,507.18",1.5169%,2.32387033,"$48,249.36",2.118215144,"$43,979.44",0.06157172235,"$1,278.38",,
07-November-2022,4.491656601,"$93,258.02",-0.2665%,2.341327176,"$48,611.81",2.089882957,"$43,391.19",0.06044646775,"$1,255.02",,
08-November-2022,4.481741606,"$93,052.16",-0.2207%,2.319929753,"$48,167.54",2.093757701,"$43,471.64",0.06805415113,"$1,412.97",,
09-November-2022,4.395602751,"$91,263.70",-1.9220%,2.292004284,"$47,587.74",2.022277972,"$41,987.55",0.08132049464,"$1,688.42",,
10-November-2022,4.377317286,"$90,884.05",-0.4160%,2.305028342,"$47,858.15",1.991799669,"$41,354.74",0.08048927463,"$1,671.16",,
11-November-2022,4.371170496,"$90,756.43",-0.1404%,2.211764257,"$45,921.76",2.075850386,"$43,099.84",0.08355585386,"$1,734.83",,
12-November-2022,4.322266237,"$89,741.05",-1.1188%,2.201657778,"$45,711.92",2.038070732,"$42,315.44",0.08253772669,"$1,713.69",,
13-November-2022,4.318964893,"$89,672.51",-0.0764%,2.263727999,"$47,000.65",1.976022007,"$41,027.16",0.0792148876,"$1,644.70",,
14-November-2022,4.328061882,"$89,861.38",0.2106%,2.222070127,"$46,135.73",2.007208137,"$41,674.66",0.09878361785,"$2,050.99",,
15-November-2022,4.266093717,"$88,574.77",-1.4318%,2.163040927,"$44,910.14",2.003421118,"$41,596.03",0.09963167236,"$2,068.60",,
16-November-2022,4.294983311,"$89,174.59",0.6772%,2.182303069,"$45,310.07",2.01261493,"$41,786.92",0.1000653114,"$2,077.61",,
17-November-2022,4.385158657,"$91,046.86",2.0996%,2.181111379,"$45,285.33",2.004362571,"$41,615.58",0.199684707,"$4,145.95",,
18-November-2022,4.422573416,"$91,823.68",0.8532%,2.186930719,"$45,406.15",2.034599604,"$42,243.37",0.2010430925,"$4,174.16",,
19-November-2022,4.424713413,"$91,868.11",0.0484%,2.198737413,"$45,651.29",2.024703542,"$42,037.91",0.2012724587,"$4,178.92",,
20-November-2022,4.429382453,"$91,965.05",0.1055%,2.218890351,"$46,069.71",2.011778003,"$41,769.54",0.1987140977,"$4,125.80",,
21-November-2022,4.356712958,"$90,456.25",-1.6406%,2.217925704,"$46,049.68",1.945566579,"$40,394.83",0.1932206749,"$4,011.74",,
22-November-2022,4.380626702,"$90,952.76",0.5489%,2.201273848,"$45,703.95",1.982807597,"$41,168.04",0.196545257,"$4,080.77",,
23-November-2022,4.313462225,"$89,558.26",-1.5332%,2.130970934,"$44,244.28",1.985930538,"$41,232.88",0.1965607526,"$4,081.09",,
24-November-2022,4.335259065,"$90,010.82",0.5053%,2.145747575,"$44,551.08",1.991609382,"$41,350.79",0.1979021084,"$4,108.94",,
25-November-2022,4.336587151,"$90,038.39",0.0306%,2.146834743,"$44,573.66",1.99166504,"$41,351.95",0.1980873676,"$4,112.79",,
26-November-2022,4.308773029,"$89,460.90",-0.6414%,2.147787713,"$44,593.44",1.966413744,"$40,827.67",0.1945715715,"$4,039.79",,
